DiabetesTypeOne,DiabetesTypeTwo,liverDisease,heartDisease,kidneyDisease,Flu,Fever,LowBP,HighBP,Recommended,Recommended2,Recommended3,Recommended4,Recommended5
yes,yes,yes,no,yes,yes,no,yes,yes,SteelcutOats,BoiledGreenVegetables,EasyBoiledRice,BabyPotato,JeeraAloo
yes,yes,yes,no,yes,yes,no,yes,no,SteelcutOats,AlooGobiMatar,CabbageChanaDal,AlooGajarMatar,AlooPalak
yes,yes,yes,no,yes,yes,no,no,yes,mixvegitables,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
yes,yes,yes,no,yes,yes,no,no,no,mixvegitables,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
yes,yes,yes,no,yes,no,yes,yes,yes,mixvegitables,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
yes,yes,yes,no,yes,no,yes,yes,no,mixvegitables,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
yes,yes,yes,no,yes,no,yes,no,yes,mixvegitables,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
yes,yes,yes,no,yes,no,yes,no,no,mixvegitables,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
yes,yes,yes,no,yes,no,no,yes,yes,mixvegitables,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
yes,yes,yes,no,yes,no,no,yes,no,Smokedsalmon,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
yes,yes,yes,no,yes,no,no,no,yes,Smokedsalmon,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
yes,yes,yes,no,yes,no,no,no,no,Smokedsalmon,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
yes,yes,yes,no,no,yes,yes,yes,yes,Smokedsalmon,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
yes,yes,yes,no,no,yes,yes,yes,no,Smokedsalmon,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
yes,yes,yes,no,no,yes,yes,no,yes,Smokedsalmon,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
yes,yes,yes,no,no,yes,yes,no,no,Smokedsalmon,AlooGajarMatar,PumpkinBhaji,AlooPalak,SteelcutOats
yes,yes,yes,no,no,yes,no,yes,yes,AlooGobi,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
yes,yes,yes,no,no,yes,no,yes,no,AlooGobi,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
yes,yes,yes,no,no,yes,no,no,yes,AlooGobi,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
yes,yes,yes,no,no,yes,no,no,no,AlooGobi,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
yes,yes,yes,no,no,no,yes,yes,yes,AlooGobi,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
yes,yes,yes,no,no,no,yes,yes,no,AlooGobi,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
yes,yes,yes,no,no,no,yes,no,yes,AlooGobi,AlooPalak,PumpkinBhaji,mixvegitables,SteelcutOats
yes,yes,yes,no,no,no,yes,no,no,PepperChickenFry,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
yes,yes,yes,no,no,no,no,yes,yes,PepperChickenFry,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
yes,yes,yes,no,no,no,no,yes,no,PepperChickenFry,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
yes,yes,yes,no,no,no,no,no,yes ,PepperChickenFry,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
yes,yes,yes,no,no,no,no,no,no,PepperChickenFry,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
yes,yes,no,yes,yes,yes,yes,yes,yes,PepperChickenFry,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
yes,yes,no,yes,yes,yes,yes,yes,no,PepperChickenFry,PumpkinBhaji,SteelcutOats,Smokedsalmon,mixvegitables
yes,yes,no,yes,yes,yes,yes,no,yes,TawaChickenfry,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
yes,yes,no,yes,yes,yes,yes,no,no,TawaChickenfry,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
yes,yes,no,yes,yes,yes,no,yes,yes,TawaChickenfry,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
yes,yes,no,yes,yes,yes,no,yes,no,TawaChickenfry,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
yes,yes,no,yes,yes,yes,no,no,yes,TawaChickenfry,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
yes,yes,no,yes,yes,yes,no,no,no,TawaChickenfry,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
yes,yes,no,yes,yes,no,yes,yes,yes,TawaChickenfry,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
yes,yes,no,yes,yes,no,yes,yes,no,ChickencornSoup,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
yes,yes,no,yes,yes,no,yes,no,yes,ChickencornSoup,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
yes,yes,no,yes,yes,no,yes,no,no,ChickencornSoup,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
yes,yes,no,yes,yes,no,no,yes,yes,ChickencornSoup,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
yes,yes,no,yes,yes,no,no,yes,no,ChickencornSoup,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
yes,yes,no,yes,yes,no,no,no,yes,ChickencornSoup,AlooGajarMatar,PumpkinBhaji,AlooPalak,SteelcutOats
yes,yes,no,yes,yes,no,no,no,no,ChickencornSoup,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
yes,yes,no,yes,no,yes,yes,yes,yes,ArabicSeekhKabab,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
yes,yes,no,yes,no,yes,yes,yes,no,ArabicSeekhKabab,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
yes,yes,no,yes,no,yes,yes,no,yes,ArabicSeekhKabab,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
yes,yes,no,yes,no,yes,yes,no,no,ArabicSeekhKabab,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
yes,yes,no,yes,no,yes,no,yes,yes,ArabicSeekhKabab,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
yes,yes,no,yes,no,yes,no,yes,no,ArabicSeekhKabab,AlooPalak,PumpkinBhaji,mixvegitables,SteelcutOats
yes,yes,no,yes,no,yes,no,no,yes,ArabicSeekhKabab,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
yes,yes,no,yes,no,yes,no,no,no,PalakChicken,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
yes,yes,no,yes,no,no,yes,yes,yes,PalakChicken,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
yes,yes,no,yes,no,no,yes,yes,no,PalakChicken,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
yes,yes,no,yes,no,no,yes,no,yes,PalakChicken,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
yes,yes,no,yes,no,no,yes,no,no,PalakChicken,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
yes,yes,no,yes,no,no,no,yes,yes,PalakChicken,PumpkinBhaji,SteelcutOats,Smokedsalmon,mixvegitables
yes,yes,no,yes,no,no,no,yes,no,PalakChicken,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
yes,yes,no,yes,no,no,no,no,yes ,PakistaniShamiKababs,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
yes,yes,no,yes,no,no,no,no,no,PakistaniShamiKababs,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
yes,yes,no,no,yes,yes,yes,yes,yes,PakistaniShamiKababs,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
yes,yes,no,no,yes,yes,yes,yes,no,PakistaniShamiKababs,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
yes,yes,no,no,yes,yes,yes,no,yes,PakistaniShamiKababs,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
yes,yes,no,no,yes,yes,yes,no,no,PakistaniShamiKababs,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
yes,yes,no,no,yes,yes,no,yes,yes,PakistaniShamiKababs,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
yes,yes,no,no,yes,yes,no,yes,no,ChickenKeemaParatha,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
yes,yes,no,no,yes,yes,no,no,yes,ChickenKeemaParatha,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
yes,yes,no,no,yes,yes,no,no,no,ChickenKeemaParatha,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
yes,yes,no,no,yes,no,yes,yes,yes,ChickenKeemaParatha,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
yes,yes,no,no,yes,no,yes,yes,no,ChickenKeemaParatha,AlooGajarMatar,PumpkinBhaji,AlooPalak,SteelcutOats
yes,yes,no,no,yes,no,yes,no,yes,ChickenKeemaParatha,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
yes,yes,no,no,yes,no,yes,no,no,ChickenKeemaParatha,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
yes,yes,no,no,yes,no,no,yes,yes,ChickenNuggets,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
yes,yes,no,no,yes,no,no,yes,no,ChickenNuggets,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
yes,yes,no,no,yes,no,no,no,yes,ChickenNuggets,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
yes,yes,no,no,yes,no,no,no,no,ChickenNuggets,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
yes,yes,no,no,no,yes,yes,yes,yes,ChickenNuggets,AlooPalak,PumpkinBhaji,SteelcutOats,mixvegitables
yes,yes,no,no,no,yes,yes,yes,no,ChickenNuggets,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
yes,yes,no,no,no,yes,yes,no,yes,ChickenNuggets,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
yes,yes,no,no,no,yes,yes,no,no,SafedMurghKurma,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
yes,yes,no,no,no,yes,no,yes,yes,SafedMurghKurma,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
yes,yes,no,no,no,yes,no,yes,no,SafedMurghKurma,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
yes,yes,no,no,no,yes,no,no,yes,SafedMurghKurma,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
yes,yes,no,no,no,yes,no,no,no,SafedMurghKurma,PumpkinBhaji,SteelcutOats,Smokedsalmon,mixvegitables
yes,yes,no,no,no,no,yes,yes,yes,SafedMurghKurma,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
yes,yes,no,no,no,no,yes,yes,no,SafedMurghKurma,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
yes,yes,no,no,no,no,yes,no,yes,ChickenKarahi,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
yes,yes,no,no,no,no,yes,no,no,ChickenKarahi,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
yes,yes,no,no,no,no,no,yes,yes,ChickenKarahi,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
yes,yes,no,no,no,no,no,yes,no,ChickenKarahi,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
yes,yes,no,no,no,no,no,no,yes ,ChickenKarahi,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
yes,yes,no,no,no,no,no,no,no,ChickenKarahi,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
yes,no,yes,yes,yes,yes,yes,yes,yes,ChickenKarahi,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
yes,no,yes,yes,yes,yes,yes,yes,no,ChickenPuffs,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
yes,no,yes,yes,yes,yes,yes,no,yes,ChickenPuffs,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
yes,no,yes,yes,yes,yes,yes,no,no,ChickenPuffs,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
yes,no,yes,yes,yes,yes,no,yes,yes,ChickenPuffs,AlooGajarMatar,PumpkinBhaji,AlooPalak,SteelcutOats
yes,no,yes,yes,yes,yes,no,yes,no,ChickenPuffs,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
yes,no,yes,yes,yes,yes,no,no,yes,ChickenPuffs,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
yes,no,yes,yes,yes,yes,no,no,no,ChickenPuffs,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
yes,no,yes,yes,yes,no,yes,yes,yes,HydrabadiHaleem,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
yes,no,yes,yes,yes,no,yes,yes,no,HydrabadiHaleem,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
yes,no,yes,yes,yes,no,yes,no,yes,HydrabadiHaleem,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
yes,no,yes,yes,yes,no,yes,no,no,HydrabadiHaleem,AlooPalak,PumpkinBhaji,SteelcutOats,mixvegitables
yes,no,yes,yes,yes,no,no,yes,yes,HydrabadiHaleem,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
yes,no,yes,yes,yes,no,no,yes,no,HydrabadiHaleem,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
yes,no,yes,yes,yes,no,no,no,yes,HydrabadiHaleem,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
yes,no,yes,yes,yes,no,no,no,no,ChickensaladSandwitch,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
yes,no,yes,yes,no,yes,yes,yes,yes,ChickensaladSandwitch,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
yes,no,yes,yes,no,yes,yes,yes,no,ChickensaladSandwitch,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
yes,no,yes,yes,no,yes,yes,no,yes,ChickensaladSandwitch,PumpkinBhaji,SteelcutOats,Smokedsalmon,mixvegitables
yes,no,yes,yes,no,yes,yes,no,no,ChickensaladSandwitch,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
yes,no,yes,yes,no,yes,no,yes,yes,ChickensaladSandwitch,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
yes,no,yes,yes,no,yes,no,yes,no,ChickensaladSandwitch,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
yes,no,yes,yes,no,yes,no,no,yes,ChickenMayyonaisSandwitch,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
yes,no,yes,yes,no,yes,no,no,no,ChickenMayyonaisSandwitch,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
yes,no,yes,yes,no,no,yes,yes,yes,ChickenMayyonaisSandwitch,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
yes,no,yes,yes,no,no,yes,yes,no,ChickenMayyonaisSandwitch,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
yes,no,yes,yes,no,no,yes,no,yes,ChickenMayyonaisSandwitch,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
yes,no,yes,yes,no,no,yes,no,no,ChickenMayyonaisSandwitch,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
yes,no,yes,yes,no,no,no,yes,yes,ChickenMayyonaisSandwitch,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
yes,no,yes,yes,no,no,no,yes,no,WhiteChickenKorma,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
yes,no,yes,yes,no,no,no,no,yes ,WhiteChickenKorma,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
yes,no,yes,yes,no,no,no,no,no,WhiteChickenKorma,AlooGajarMatar,PumpkinBhaji,AlooPalak,SteelcutOats
yes,no,yes,no,yes,yes,yes,yes,yes,WhiteChickenKorma,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
yes,no,yes,no,yes,yes,yes,yes,no,WhiteChickenKorma,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
yes,no,yes,no,yes,yes,yes,no,yes,WhiteChickenKorma,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
yes,no,yes,no,yes,yes,yes,no,no,WhiteChickenKorma,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
yes,no,yes,no,yes,yes,no,yes,yes,MuttonDumBiryani,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
yes,no,yes,no,yes,yes,no,yes,no,MuttonDumBiryani,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
yes,no,yes,no,yes,yes,no,no,yes,MuttonDumBiryani,AlooPalak,PumpkinBhaji,SteelcutOats,mixvegitables
yes,no,yes,no,yes,yes,no,no,no,MuttonDumBiryani,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
yes,no,yes,no,yes,no,yes,yes,yes,MuttonDumBiryani,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
yes,no,yes,no,yes,no,yes,yes,no,MuttonDumBiryani,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
yes,no,yes,no,yes,no,yes,no,yes,MuttonDumBiryani,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
yes,no,yes,no,yes,no,yes,no,no,EASYHONEYGARLICSALMON,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
yes,no,yes,no,yes,no,no,yes,yes,EASYHONEYGARLICSALMON,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
yes,no,yes,no,yes,no,no,yes,no,EASYHONEYGARLICSALMON,PumpkinBhaji,SteelcutOats,Smokedsalmon,mixvegitables
yes,no,yes,no,yes,no,no,no,yes,EASYHONEYGARLICSALMON,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
yes,no,yes,no,yes,no,no,no,no,EASYHONEYGARLICSALMON,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
yes,no,yes,no,no,yes,yes,yes,yes,EASYHONEYGARLICSALMON,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
yes,no,yes,no,no,yes,yes,yes,no,EASYHONEYGARLICSALMON,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
yes,no,yes,no,no,yes,yes,no,yes,BoiledGreenVegetables,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
yes,no,yes,no,no,yes,yes,no,no,BoiledGreenVegetables,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
yes,no,yes,no,no,yes,no,yes,yes,BoiledGreenVegetables,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
yes,no,yes,no,no,yes,no,yes,no,BoiledGreenVegetables,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
yes,no,yes,no,no,yes,no,no,yes,BoiledGreenVegetables,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
yes,no,yes,no,no,yes,no,no,no,BoiledGreenVegetables,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
yes,no,yes,no,no,no,yes,yes,yes,BoiledGreenVegetables,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
yes,no,yes,no,no,no,yes,yes,no,EasyBoiledRice,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
yes,no,yes,no,no,no,yes,no,yes,EasyBoiledRice,AlooGajarMatar,PumpkinBhaji,AlooPalak,SteelcutOats
yes,no,yes,no,no,no,yes,no,no,EasyBoiledRice,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
yes,no,yes,no,no,no,no,yes,yes,EasyBoiledRice,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
